AttributeA,AttributeB,DecisionType,Reason,CanonicalNode,Track,EvidenceScore,HardVetoes
Plaid.transaction_amount,Stripe.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7777464592678116,
Plaid.transaction_amount,UPI.txn_amount,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_amount,production,0.9651965217244713,
Razorpay.amount,UPI.txn_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7567152129232023,
Razorpay.currency,UPI.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.94999999999965,
Razorpay.vpa,UPI.vpa,HUMAN_REVIEW,cross-rail compatibility uncertain,virtual_payment_address,production,0.9658152396047952,
Razorpay.status,UPI.txn_status,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_status,production,0.8292050956517036,
Stripe.amount,UPI.txn_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,production,0.7532929899181335,
Stripe.currency,UPI.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,production,0.94999999999965,
Stripe.status,UPI.txn_status,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_status,production,0.8098788730589409,
INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,HUMAN_REVIEW,cross-rail compatibility uncertain,card_primary_account_number,discovery,0.9553108415311572,
INAmex.CardVerificationValue,PPVisa.cvv,HUMAN_REVIEW,evidence margin below auto-merge threshold,card_verification_value,discovery,0.8411824490561535,
INAmex.CardHolderName,PPVisa.cardholder,HUMAN_REVIEW,evidence margin below auto-merge threshold,cardholder_name,discovery,0.7976478650941942,
ISO20022.instd_amt,Mastercard.transaction_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.6897254248461442,
ISO20022.instd_amt,Plaid.transaction_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7168398467620309,
ISO20022.instd_amt,Razorpay.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7261480470064934,
ISO20022.instd_amt,Stripe.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7471157205296945,
ISO20022.instd_amt,UPI.txn_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7061125538566522,
ISO20022.currency,Plaid.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.9999999999996501,
ISO20022.currency,Razorpay.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.9925752851232074,
ISO20022.currency,Stripe.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.9925752851232074,
ISO20022.currency,UPI.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.9925752851232074,
Mastercard.primary_account_number,PPVisa.pan,HUMAN_REVIEW,cross-rail compatibility uncertain,card_primary_account_number,discovery,0.9581307229002273,
Mastercard.transaction_amount,Plaid.transaction_amount,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_amount,discovery,0.9527492476906001,
Mastercard.transaction_amount,Razorpay.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7622240161773646,
Mastercard.transaction_amount,Stripe.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7585153865487431,
Mastercard.transaction_amount,UPI.txn_amount,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_amount,discovery,0.9244891836421402,
Plaid.currency,Razorpay.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.9425752851232074,
Plaid.currency,Stripe.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.9425752851232074,
Plaid.currency,UPI.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.9425752851232074,
Plaid.transaction_amount,Razorpay.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7871530594216946,
Plaid.transaction_amount,Stripe.amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7777464592678116,
Plaid.transaction_amount,UPI.txn_amount,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_amount,discovery,0.9651965217244713,
Razorpay.amount,UPI.txn_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7567152129232023,
Razorpay.currency,UPI.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.94999999999965,
Razorpay.vpa,UPI.vpa,HUMAN_REVIEW,cross-rail compatibility uncertain,virtual_payment_address,discovery,0.9658152396047952,
Razorpay.status,UPI.txn_status,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_status,discovery,0.8292050956517036,
Stripe.amount,UPI.txn_amount,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_amount,discovery,0.7532929899181335,
Stripe.currency,UPI.currency,HUMAN_REVIEW,cross-rail compatibility uncertain,payment_currency,discovery,0.94999999999965,
Stripe.status,UPI.txn_status,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,payment_status,discovery,0.8098788730589409,
