mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,bridge_rule_applied,bridge_rule_name,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,is_in_true_pairs,is_in_negative_pairs,error_class
no_cmnf,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,0.6875,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,True,0.9604064226150513,0.75,0.7494196589787802,6,BRIDGED_PASS,PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,signal_count >= m_min and aggregate >= gamma,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,AANF+ECNF only; CMNF ablated,no_cmnf-000977,True,True,False,TP
no_cmnf,pan,payer_account,payer account,primary account number,payer account <-> primary account number,PPVisa.json,UPI.json,Payments Risk,Payments Risk,0.5810662508010864,0.25,payment:account,payment:account,True,0.09090909090909091,"^[0-9]{13,19}$","^[0-9]{6,19}$",False,True,0.9997853636741638,0.0,0.6673835730552673,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,payment_account_number_regex_shape_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,AANF+ECNF only; CMNF ablated,no_cmnf-001001,True,False,True,EXPLICIT_NEGATIVE_MERGE
no_dbnf,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.709250275293986,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_amount_ontology_regex_bridge: borderline cosine plus ontology/regex/value evidence,payment_amount_ontology_regex_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_amount_ontology_regex_bridge,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,no_dbnf-000703,True,True,False,TP
no_dbnf,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,0.6875,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,True,0.9604064226150513,0.75,0.7494196589787802,6,BRIDGED_PASS,PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,signal_count >= m_min and aggregate >= gamma,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,no_dbnf-000977,True,True,False,TP
no_dbnf,pan,payer_account,payer account,primary account number,payer account <-> primary account number,PPVisa.json,UPI.json,Payments Risk,Payments Risk,0.5810662508010864,0.25,payment:account,payment:account,True,0.09090909090909091,"^[0-9]{13,19}$","^[0-9]{6,19}$",False,True,0.9997853636741638,0.0,0.6673835730552673,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,payment_account_number_regex_shape_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,no_dbnf-001001,True,False,True,EXPLICIT_NEGATIVE_MERGE
no_value_evidence,currency,currency,currency,currency,currency <-> currency,Stripe.json,UPI.json,Payments Risk,Payments Risk,1.0,1.0,payment:currency,payment:currency,True,,mixed,mixed,False,False,,,1.0,3,PASS,BRIDGED_PASS,PASS,cosine >= tau_aanf,payment_currency_code_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_currency_code_bridge,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_currency_code_bridge,no_value_evidence-000754,True,True,False,TP
vss_only,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.9978572130203247,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_amount_ontology_regex_bridge: borderline cosine plus ontology/regex/value evidence,payment_amount_ontology_regex_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_amount_ontology_regex_bridge,standard_pairwise,MERGE,single/limited evidence mode threshold,vss_only-000703,True,True,False,TP
vss_only,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,0.6875,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,True,0.9604064226150513,0.75,0.9604064226150513,6,BRIDGED_PASS,PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,signal_count >= m_min and aggregate >= gamma,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,single/limited evidence mode threshold,vss_only-000977,True,True,False,TP
vss_only,pan,payer_account,payer account,primary account number,payer account <-> primary account number,PPVisa.json,UPI.json,Payments Risk,Payments Risk,0.5810662508010864,0.25,payment:account,payment:account,True,0.09090909090909091,"^[0-9]{13,19}$","^[0-9]{6,19}$",False,True,0.9997853636741638,0.0,0.9997853636741638,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,payment_account_number_regex_shape_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,single/limited evidence mode threshold,vss_only-001001,True,False,True,EXPLICIT_NEGATIVE_MERGE
shape_only,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,1.0,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_amount_ontology_regex_bridge: borderline cosine plus ontology/regex/value evidence,payment_amount_ontology_regex_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_amount_ontology_regex_bridge,standard_pairwise,MERGE,single/limited evidence mode threshold,shape_only-000703,True,True,False,TP
shape_only,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,0.6875,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,True,0.9604064226150513,0.75,0.85,6,BRIDGED_PASS,PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,signal_count >= m_min and aggregate >= gamma,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,single/limited evidence mode threshold,shape_only-000977,True,True,False,TP
shape_only,pan,payer_account,payer account,primary account number,payer account <-> primary account number,PPVisa.json,UPI.json,Payments Risk,Payments Risk,0.5810662508010864,0.25,payment:account,payment:account,True,0.09090909090909091,"^[0-9]{13,19}$","^[0-9]{6,19}$",False,True,0.9997853636741638,0.0,0.85,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,payment_account_number_regex_shape_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,single/limited evidence mode threshold,shape_only-001001,True,False,True,EXPLICIT_NEGATIVE_MERGE
name_ontology_only,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,0.6875,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,True,0.9604064226150513,0.75,0.7777777777777777,6,BRIDGED_PASS,PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,signal_count >= m_min and aggregate >= gamma,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,single/limited evidence mode threshold,name_ontology_only-000977,True,True,False,TP
name_ontology_only,pan,payer_account,payer account,primary account number,payer account <-> primary account number,PPVisa.json,UPI.json,Payments Risk,Payments Risk,0.5810662508010864,0.25,payment:account,payment:account,True,0.09090909090909091,"^[0-9]{13,19}$","^[0-9]{6,19}$",False,True,0.9997853636741638,0.0,0.5,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,payment_account_number_regex_shape_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_account_number_regex_shape_bridge,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-001001,False,False,True,TN_OR_UNLABELED
name_ontology_only,routing_number,account_number,account number,routing number,account number <-> routing number,Plaid.json,Plaid.json,Payments Risk,Payments Risk,0.7917501330375671,0.3333333333333333,payment:account,payment:account,True,0.0625,^[+-]?[0-9]+(\.[0-9]+)?$,"^[0-9]{6,19}$",False,False,0.9599090814590454,0.75,0.5555555555555556,4,PASS,BRIDGED_PASS,PASS,cosine >= tau_aanf,payment_account_number_regex_shape_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_account_number_regex_shape_bridge,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-001223,False,False,True,TN_OR_UNLABELED
name_ontology_only,account_number,payer_account,account number,payer account,account number <-> payer account,Plaid.json,UPI.json,Payments Risk,Payments Risk,0.7952486872673035,0.3333333333333333,payment:account,payment:account,True,0.0625,"^[0-9]{6,19}$","^[0-9]{6,19}$",True,True,0.9604665637016296,0.75,0.5555555555555556,5,PASS,BRIDGED_PASS,PASS,cosine >= tau_aanf,payment_account_number_regex_shape_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_account_number_regex_shape_bridge,standard_pairwise,DEFER,limited evidence below gamma,name_ontology_only-001272,False,False,True,TN_OR_UNLABELED
hybrid,instd_amt,txn_amount,instd amount,transaction amount,instd amount <-> transaction amount,ISO20022.json,UPI.json,Payments Risk,Payments Risk,0.607530415058136,0.3333333333333333,payment:amount,payment:amount,True,0.2857142857142857,^[+-]?[0-9]+(\.[0-9]+)?$,^[+-]?[0-9]+(\.[0-9]+)?$,True,True,0.9978572130203247,0.0,0.709250275293986,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_amount_ontology_regex_bridge: borderline cosine plus ontology/regex/value evidence,payment_amount_ontology_regex_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_amount_ontology_regex_bridge,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,hybrid-000703,True,True,False,TP
hybrid,account_number,pan,account number,primary account number,account number <-> primary account number,Plaid.json,PPVisa.json,Payments Risk,Payments Risk,0.5975126028060913,0.6666666666666666,payment:account,payment:account,True,0.6875,"^[0-9]{6,19}$","^[0-9]{13,19}$",False,True,0.9604064226150513,0.75,0.7494196589787802,6,BRIDGED_PASS,PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,signal_count >= m_min and aggregate >= gamma,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,hybrid-000977,True,True,False,TP
hybrid,pan,payer_account,payer account,primary account number,payer account <-> primary account number,PPVisa.json,UPI.json,Payments Risk,Payments Risk,0.5810662508010864,0.25,payment:account,payment:account,True,0.09090909090909091,"^[0-9]{13,19}$","^[0-9]{6,19}$",False,True,0.9997853636741638,0.0,0.6673835730552673,3,BRIDGED_PASS,BRIDGED_PASS,PASS,payment_account_number_regex_shape_bridge: borderline cosine plus ontology/regex/value evidence,payment_account_number_regex_shape_bridge: evidence_signal_count >= 3 with aggregate support,True,payment_account_number_regex_shape_bridge,standard_pairwise,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,hybrid-001001,True,False,True,EXPLICIT_NEGATIVE_MERGE
